20MICRONS,EQ,80.85,80.75,10-APR-2023,INE144J01027
21STCENMGM,EQ,20.8,20.8,10-APR-2023,INE253B01015
360ONE,EQ,432.2,433.8,10-APR-2023,INE466L01038
3IINFOLTD,EQ,34.4,34.45,10-APR-2023,INE748C01038
3MINDIA,EQ,22780.45,22888,10-APR-2023,INE470A01017
3PLAND,EQ,23.15,23.15,10-APR-2023,INE105C01023
5PAISA,EQ,286.95,286.5,10-APR-2023,INE618L01018
63MOONS,EQ,168.6,168.3,10-APR-2023,INE111B01023
A2ZINFRA,EQ,6.85,6.9,10-APR-2023,INE619I01012
AAATECH,EQ,58.25,58.25,10-APR-2023,INE0D0U01013
AAKASH,EQ,6.6,6.65,10-APR-2023,INE087Z01024
AAREYDRUGS,EQ,28.4,28.4,10-APR-2023,INE198H01019
AARON,EQ,194.65,194.7,10-APR-2023,INE721Z01010
AARTIDRUGS,EQ,408.75,405,10-APR-2023,INE767A01016
AARTIIND,EQ,537,538,10-APR-2023,INE769A01020
AARTIPHARM,EQ,301.75,302.8,10-APR-2023,INE0LRU01027
AARTISURF,EQ,570.9,570.9,10-APR-2023,INE09EO01013
AARVEEDEN,EQ,23.45,23.7,10-APR-2023,INE273D01019
AARVI,EQ,132.9,132.95,10-APR-2023,INE754X01016
AAVAS,EQ,1673.15,1675,10-APR-2023,INE216P01012
ABAN,EQ,36.9,37.2,10-APR-2023,INE421A01028
ABB,EQ,3397.65,3400,10-APR-2023,INE117A01022
ABBOTINDIA,EQ,22831.65,22880,10-APR-2023,INE358A01014
ABCAPITAL,EQ,159.75,159.45,10-APR-2023,INE674K01013
ABFRL,EQ,221.95,222,10-APR-2023,INE647O01011
ABSLAMC,EQ,331.95,332.6,10-APR-2023,INE404A01024
ABSLBANETF,EQ,40.94,40.89,10-APR-2023,INF209KB17D5
ABSLLIQUID,EQ,999.99,999.99,10-APR-2023,INF209KB18T9
ABSLNN50ET,EQ,39.58,39.4,10-APR-2023,INF209KB16D7
ACC,EQ,1740.95,1745,10-APR-2023,INE012A01025
ACCELYA,EQ,1260.85,1259,10-APR-2023,INE793A01012
ACCURACY,EQ,13.8,13.85,10-APR-2023,INE648Z01023
ACE,EQ,406.05,406.1,10-APR-2023,INE731H01025
ACI,EQ,610.35,611.9,10-APR-2023,INE128X01021
ADANIENT,EQ,1797.25,1797,10-APR-2023,INE423A01024
ADANIGREEN,EQ,899.15,899.15,10-APR-2023,INE364U01010
ADANIPORTS,EQ,652,652.25,10-APR-2023,INE742F01042
ADANIPOWER,EQ,194,194.05,10-APR-2023,INE814H01011
ADANITRANS,EQ,1000.85,1000.85,10-APR-2023,INE931S01010
ADFFOODS,EQ,734.2,731.45,10-APR-2023,INE982B01019
ADORWELD,EQ,990,987.05,10-APR-2023,INE045A01017
ADROITINFO,EQ,21.55,21.7,10-APR-2023,INE737B01033
ADSL,EQ,84.55,84.7,10-APR-2023,INE102I01027
ADVANIHOTR,EQ,73.3,73.2,10-APR-2023,INE199C01026
ADVENZYMES,EQ,251.55,250.1,10-APR-2023,INE837H01020
AEGISCHEM,EQ,386.55,387,10-APR-2023,INE208C01025
AETHER,EQ,904.85,906,10-APR-2023,INE0BWX01014
AFFLE,EQ,946.7,949.9,10-APR-2023,INE00WC01027
AGARIND,EQ,585.15,587,10-APR-2023,INE204E01012
AGI,EQ,357.4,357.2,10-APR-2023,INE415A01038
AGRITECH,EQ,97.8,98.15,10-APR-2023,INE449G01018
AGROPHOS,EQ,33.55,33.6,10-APR-2023,INE740V01019
AGSTRA,EQ,48.95,49,10-APR-2023,INE583L01014
AHL,EQ,216,215.3,10-APR-2023,INE00ZE01026
AHLADA,EQ,89.85,90,10-APR-2023,INE00PV01013
AHLEAST,EQ,114.05,114.25,10-APR-2023,INE926K01017
AHLUCONT,EQ,541.25,539.15,10-APR-2023,INE758C01029
AIAENG,EQ,2895.85,2910,10-APR-2023,INE212H01026
AIRAN,EQ,15.25,15.25,10-APR-2023,INE645W01026
AIROLAM,EQ,71.55,71.4,10-APR-2023,INE801L01010
AJANTPHARM,EQ,1290.85,1283,10-APR-2023,INE031B01049
AJMERA,EQ,313.25,313.1,10-APR-2023,INE298G01027
AJOONI,EQ,4.9,4.95,10-APR-2023,INE820Y01021
AKASH,EQ,26.85,27.45,10-APR-2023,INE737W01013
AKG,EQ,33.3,34,10-APR-2023,INE00Y801016
AKI,EQ,97.05,97.05,10-APR-2023,INE642Z01018
AKSHARCHEM,EQ,225.6,225.35,10-APR-2023,INE542B01011
AKSHOPTFBR,EQ,8.85,8.85,10-APR-2023,INE523B01011
AKZOINDIA,EQ,2286.8,2282,10-APR-2023,INE133A01011
ALANKIT,EQ,8.7,8.6,10-APR-2023,INE914E01040
ALBERTDAVD,EQ,538.65,537,10-APR-2023,INE155C01010
ALEMBICLTD,EQ,60.6,60.85,10-APR-2023,INE426A01027
ALICON,EQ,715.4,715.7,10-APR-2023,INE062D01024
ALKALI,EQ,95.8,96,10-APR-2023,INE773I01017
ALKEM,EQ,3372.55,3361.15,10-APR-2023,INE540L01014
ALKYLAMINE,EQ,2238.3,2240,10-APR-2023,INE150B01039
ALLCARGO,EQ,354.3,354.95,10-APR-2023,INE418H01029
ALLSEC,EQ,474.1,470,10-APR-2023,INE835G01018
ALMONDZ,EQ,67.35,67.1,10-APR-2023,INE326B01027
ALOKINDS,EQ,12.55,12.6,10-APR-2023,INE270A01029
ALPA,EQ,57.2,57.05,10-APR-2023,INE385I01010
ALPHAGEO,EQ,219.95,218.15,10-APR-2023,INE137C01018
ALPSINDUS,EQ,1.3,1.3,10-APR-2023,INE093B01015
AMARAJABAT,EQ,574.1,573.45,10-APR-2023,INE885A01032
AMBER,EQ,1892.35,1888.25,10-APR-2023,INE371P01015
AMBICAAGAR,EQ,19.9,20.25,10-APR-2023,INE792B01012
AMBIKCO,EQ,1529.55,1520,10-APR-2023,INE540G01014
AMBUJACEM,EQ,384.35,384.55,10-APR-2023,INE079A01024
AMDIND,EQ,54.5,54.5,10-APR-2023,INE005I01014
AMIORG,EQ,931.35,933.05,10-APR-2023,INE00FF01017
AMJLAND,EQ,22.45,22.9,10-APR-2023,INE606A01024
AMRUTANJAN,EQ,606.55,612,10-APR-2023,INE098F01031
ANANDRATHI,EQ,810,809.95,10-APR-2023,INE463V01026
ANANTRAJ,EQ,135.15,134.8,10-APR-2023,INE242C01024
ANDHRAPAP,EQ,425.15,426,10-APR-2023,INE435A01028
ANDHRSUGAR,EQ,114.15,114,10-APR-2023,INE715B01021
ANDREWYU,EQ,20.6,20.7,10-APR-2023,INE449C01025
ANGELONE,EQ,1220.8,1225,10-APR-2023,INE732I01013
ANIKINDS,EQ,31.25,30.95,10-APR-2023,INE087B01017
ANKITMETAL,EQ,4.35,4.35,10-APR-2023,INE106I01010
ANMOL,EQ,206.2,205.5,10-APR-2023,INE02AR01019
ANTGRAPHIC,EQ,0.75,0.75,10-APR-2023,INE414B01021
ANUP,EQ,1028.6,1027,10-APR-2023,INE294Z01018
ANURAS,EQ,912,911,10-APR-2023,INE930P01018
APARINDS,EQ,2695.3,2694.95,10-APR-2023,INE372A01015
APCL,EQ,171.1,171.85,10-APR-2023,INE071F01012
APCOTEXIND,EQ,502.6,502,10-APR-2023,INE116A01032
APEX,EQ,199.75,199,10-APR-2023,INE346W01013
APLAPOLLO,EQ,1186.95,1186,10-APR-2023,INE702C01027
APLLTD,EQ,510.8,511,10-APR-2023,INE901L01018
APOLLO,EQ,301.25,301.25,10-APR-2023,INE713T01010
APOLLOHOSP,EQ,4237,4231.5,10-APR-2023,INE437A01024
APOLLOPIPE,EQ,533.7,532.95,10-APR-2023,INE126J01016
APOLLOTYRE,EQ,328.35,328,10-APR-2023,INE438A01022
APOLSINHOT,EQ,1093.7,1080,10-APR-2023,INE451F01024
APTECHT,EQ,415,415,10-APR-2023,INE266F01018
APTUS,EQ,240.05,242.35,10-APR-2023,INE852O01025
ARCHIDPLY,EQ,59.75,59,10-APR-2023,INE877I01016
ARCHIES,EQ,19.25,19.1,10-APR-2023,INE731A01020
ARENTERP,EQ,30.1,30.1,10-APR-2023,INE610C01014
ARIES,EQ,157,157,10-APR-2023,INE298I01015
ARIHANTCAP,EQ,41.95,42,10-APR-2023,INE420B01036
ARIHANTSUP,EQ,221.3,221.5,10-APR-2023,INE643K01018
ARMANFIN,EQ,1395.85,1407.5,10-APR-2023,INE109C01017
AROGRANITE,EQ,39.95,40.15,10-APR-2023,INE210C01013
ARROWGREEN,EQ,255.05,254.25,10-APR-2023,INE570D01018
ARSHIYA,EQ,5.85,5.85,10-APR-2023,INE968D01022
ARTEMISMED,EQ,68.7,69,10-APR-2023,INE025R01021
ARTNIRMAN,EQ,49.95,50.85,10-APR-2023,INE738V01013
ARVEE,EQ,101.55,101.55,10-APR-2023,INE006Z01016
ARVIND,EQ,89.8,89.55,10-APR-2023,INE034A01011
ARVINDFASN,EQ,294.15,292,10-APR-2023,INE955V01021
ARVSMART,EQ,300.15,300,10-APR-2023,INE034S01021
ASAHIINDIA,EQ,459.95,460,10-APR-2023,INE439A01020
ASAHISONG,EQ,200.8,201.5,10-APR-2023,INE228I01012
ASAL,EQ,319.15,318,10-APR-2023,INE900C01027
ASALCBR,EQ,362.45,364.6,10-APR-2023,INE073G01016
ASHAPURMIN,EQ,128.75,128.5,10-APR-2023,INE348A01023
ASHIANA,EQ,178.15,178.8,10-APR-2023,INE365D01021
ASHIMASYN,EQ,14.1,14.1,10-APR-2023,INE440A01010
ASHOKA,EQ,80.8,80.8,10-APR-2023,INE442H01029
ASHOKLEY,EQ,138.2,138.2,10-APR-2023,INE208A01029
ASIANPAINT,EQ,2776.35,2776.35,10-APR-2023,INE021A01026
ASIANTILES,EQ,40,40.1,10-APR-2023,INE022I01019
ASPINWALL,EQ,203.1,204,10-APR-2023,INE991I01015
ASTEC,EQ,1340.3,1365,10-APR-2023,INE563J01010
ASTERDM,EQ,250.1,249.65,10-APR-2023,INE914M01019
ASTRAL,EQ,1404.2,1405,10-APR-2023,INE006I01046
ASTRAMICRO,EQ,249.65,251,10-APR-2023,INE386C01029
ASTRAZEN,EQ,3259.7,3250,10-APR-2023,INE203A01020
ASTRON,EQ,24.65,24.8,10-APR-2023,INE646X01014
ATFL,EQ,886.95,891.8,10-APR-2023,INE209A01019
ATGL,EQ,906.15,906.15,10-APR-2023,INE399L01023
ATLANTA,EQ,17.15,17.3,10-APR-2023,INE285H01022
ATUL,EQ,7006.9,6992.1,10-APR-2023,INE100A01010
ATULAUTO,EQ,414.75,413.7,10-APR-2023,INE951D01028
AUBANK,EQ,564.5,565.25,10-APR-2023,INE949L01017
AURIONPRO,EQ,334.3,332.9,10-APR-2023,INE132H01018
AUROPHARMA,EQ,540.75,539.25,10-APR-2023,INE406A01037
AURUM,EQ,107.2,106.9,10-APR-2023,INE898S01029
AUSOMENT,EQ,60.35,59.25,10-APR-2023,INE218C01016
AUTOAXLES,EQ,2464.65,2465,10-APR-2023,INE449A01011
AUTOBEES,EQ,127.36,127.48,10-APR-2023,INF204KC1337
AUTOIND,EQ,74,73.7,10-APR-2023,INE718H01014
AVADHSUGAR,EQ,468.4,466.25,10-APR-2023,INE349W01017
AVANTIFEED,EQ,357.9,357.45,10-APR-2023,INE871C01038
AVONMORE,EQ,66.65,66.85,10-APR-2023,INE323B01016
AVROIND,EQ,122.1,122.7,10-APR-2023,INE652Z01017
AVTNPL,EQ,81.35,81.5,10-APR-2023,INE488D01021
AWHCL,EQ,256.6,256.7,10-APR-2023,INE01BK01022
AWL,EQ,410,410,10-APR-2023,INE699H01024
AXISBANK,EQ,847.35,845.5,10-APR-2023,INE238A01034
AXISBNKETF,EQ,411.67,412.18,10-APR-2023,INF846K01X63
AXISBPSETF,EQ,10.88,10.86,10-APR-2023,INF846K01Z04
AXISCADES,EQ,306.45,306.45,10-APR-2023,INE555B01013
AXISCETF,EQ,73.5,73.48,10-APR-2023,INF846K016C7
AXISGOLD,EQ,51.46,51.45,10-APR-2023,INF846K01W80
AXISHCETF,EQ,78.3,78.3,10-APR-2023,INF846K01Z12
AXISILVER,EQ,75.67,75.51,10-APR-2023,INF846K011K1
AXISNIFTY,EQ,187.48,187.62,10-APR-2023,INF846K01W98
AXISTECETF,EQ,300.93,300.93,10-APR-2023,INF846K01Y96
AXITA,EQ,64.35,64.3,10-APR-2023,INE02EZ01022
AXSENSEX,EQ,59.38,59.3,10-APR-2023,INF846K010Q0
AYMSYNTEX,EQ,69.9,68.1,10-APR-2023,INE193B01039
BAGFILMS,EQ,4.55,4.55,10-APR-2023,INE116D01028
BAIDFIN,EQ,35.5,36,10-APR-2023,INE020D01022
BAJAJ-AUTO,EQ,4061.6,4060.75,10-APR-2023,INE917I01010
BAJAJCON,EQ,151.8,151.6,10-APR-2023,INE933K01021
BAJAJELEC,EQ,1052.4,1053,10-APR-2023,INE193E01025
BAJAJFINSV,EQ,1305.05,1306,10-APR-2023,INE918I01026
BAJAJHCARE,EQ,316.2,317.25,10-APR-2023,INE411U01027
BAJAJHIND,EQ,13.25,13.25,10-APR-2023,INE306A01021
BAJAJHLDNG,EQ,5912.05,5917,10-APR-2023,INE118A01012
BAJFINANCE,EQ,5828.8,5830,10-APR-2023,INE296A01024
BALAJITELE,EQ,40.7,40.8,10-APR-2023,INE794B01026
